S3,S1,S2
YALE084C,YALE080,YALE043B
YALE088C,YALE092,YALE020B
YALE089C,YALE025,YALE064B
YALE091C,YALE045,YALE041B
YALE093C,YALE043,YALE161B
YALE095C,YALE072,YALE056B
YALE105C,YALE090,YALE150B
YALE106C,YALE034,YALE077B
YALE108C,YALE002,YALE105B
YALE109C,YALE004,YALE147B
YALE110C,YALE089,YALE016B
YALE112C,YALE051,YALE156B
YALE117C,YALE091,YALE140B
YALE119C,YALE021,YALE040B
